星名,子,丑,寅,卯,辰,巳,午,未,申,酉,戌,亥
紅鸞,卯,寅,丑,子,亥,戌,酉,申,未,午,巳,辰
天喜,酉,申,未,午,巳,辰,卯,寅,丑,子,亥,戌
龍池,辰,巳,午,未,申,酉,戌,亥,子,丑,寅,卯
鳳閤,戌,酉,申,未,午,巳,辰,卯,寅,丑,子,亥
天德,酉,戌,亥,子,丑,寅,卯,辰,巳,午,未,申
月德,巳,午,未,申,酉,戌,亥,子,丑,寅,卯,辰
天哭,午,巳,辰,卯,寅,丑,子,亥,戌,酉,申,未
天虛,午,未,申,酉,戌,亥,子,丑,寅,卯,辰,巳
孤辰,寅,寅,巳,巳,巳,申,申,申,亥,亥,亥,寅
寡宿,戌,戌,丑,丑,丑,辰,辰,辰,未,未,未,戌
華蓋,辰,丑,戌,未,辰,丑,戌,未,辰,丑,戌,未
劫殺,巳,寅,亥,申,巳,寅,亥,申,巳,寅,亥,申
咸池,酉,午,卯,子,酉,午,卯,子,酉,午,卯,子
大耗,未,午,酉,申,亥,戌,丑,子,卯,寅,巳,辰
蜚廉,申 ,酉,戌,巳,午,未,寅,卯,辰,亥,子,丑
破碎,巳,丑,酉,巳,丑,酉,巳,丑,酉,巳,丑,酉
火星,寅,卯,丑,酉,寅,卯,丑,酉,寅,卯,丑,酉
鈴星,戌,戌,卯,戌,戌,戌,卯,戌,戌,戌,卯,戌
天馬,寅,亥,申,巳,寅,亥,申,巳,寅,亥,申,巳
